Job Title,Job link,Company name,Location,Skills
Infrastructure Manager,https://wuzzuf.net/jobs/p/fcDDEkKHPoLy-Infrastructure-Manager-Universities-of-Canada-in-Egypt-Cairo-Egypt,"New Cairo, Cairo, Egypt ",Universities of Canada in Egypt -,Manager · 5 - 8 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · IT · Communication skills · Infrastructure · Management · Engineering · Data center
Data Analyst,https://wuzzuf.net/jobs/p/BNXfNq8B3h4P-Data-Analyst-Zumra-Food-Cairo-Egypt,"Nasr City, Cairo, Egypt ",Zumra Food -,Experienced · 2 - 4 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analyst · analytical · business · Analysis · Computer Science · Data Analysis · Data Analyst
Investment Senior Analyst,https://wuzzuf.net/jobs/p/XcsFKum5RjbH-Investment-Senior-Analyst-Algebra-Ventures-Aggregated-Cairo-Egypt,"Cairo, Egypt ",Algebra Ventures -,Not specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Analysis · Business Analysis · Finance · Accounting · Financial Analysis
Data Analyst,https://wuzzuf.net/jobs/p/sXKgJ2C35bAw-Data-Analyst-Selah-ElTelmeez-For-Publishing-printing-Cairo-Egypt,"Obour City, Cairo, Egypt ",Selah ElTelmeez For Publishing & printing -,Experienced · 1 - 3 Yrs of Exp · females_only · Analyst/Research · Analysis · analytical · business · Computer Science · Data Analysis · Data Analyst · Reporting · Statistics
Senior Analyst - Accounting,https://wuzzuf.net/jobs/p/8g7xv1yLeSMI-Senior-Analyst---Accounting-S-C-Johnson-Son-Inc-Cairo-Egypt,"Cairo, Egypt ",S.C. Johnson & Son Inc -,Not specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Analysis · Business Analysis · Finance · Accounting · Financial Analysis
IOS Developer,https://wuzzuf.net/jobs/p/wR7Get7KRvuv-IOS-Developer-Kick-Start-Interactive-Giza-Egypt,"Dokki, Giza, Egypt ",Kick Start Interactive -,Entry Level · 1 - 3 Yrs of Exp · IT/Software Development · Core Animation · Computer Science · Core Data · iOS · Objective-C · MVC · MVVN
Governance Administrator,https://wuzzuf.net/jobs/p/R9vM5w3sHnwN-Governance-Administrator-Aramex-International-Aggregated-Dubai-United-Arab-Emirates,"Dubai, United Arab Emirates ",Aramex International -,Not specified · Administration · Legal · Engineering - Oil & Gas/Energy · Administration · Law · Business Administration · Government Relations · Legal · Hospitality · Microsoft Office
iOS Developer,https://wuzzuf.net/jobs/p/7vdvOIuVNcIn-iOS-Developer-El-Dokan-Cairo-Egypt,"Cairo, Egypt ",El-Dokan -,Not specified · IT/Software Development · Quality · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · iOS · Software Development · Software Engineering · Android · Swift
Growth Analyst (CVM),https://wuzzuf.net/jobs/p/brOkcN0qJnrE-Growth-Analyst-CVM-Albostany-for-real-estate-Aggregated-Cairo-Egypt,"Cairo, Egypt ",Albostany for real estate -,Not specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · information technology (it) · computer science · software development · software engineering · analysis · sql · data analysis
Master Data Specialist,https://wuzzuf.net/jobs/p/LrViogbSuvgE-Master-Data-Specialist-Cairo-Egypt,"Basatin, Cairo, Egypt ",Confidential -,Entry Level · 0 - 2 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Master Data · Microsoft Office · Administration · Typing · Information Technology (IT) · Software · computer
